city_name,zip_code,hospital_name,address,phone,photo_file,latitude,longitude
Alameda,94501,Alameda Hospital,"2070 Clinton Avenue, Alameda, CA 94501",(510) 522-3700,Alameda_Hospital.jpg,37.762814,-122.253387
Alhambra,91801,Alhambra Hospital Medical Center,"100 South Raymond Avenue, Alhambra, CA 91801",(626) 570-1606,Alhambra_Hospital_Medical_Center.jpg,34.090226,-118.144014
Anaheim,92801,Ahmc Anaheim Regional Medical Center,"1111 West la Palma Avenue, Anaheim, CA 92801",(714) 774.1450,Ahmc_Anaheim_Regional_Medical_Center.jpg,33.848175,-117.934526
Anaheim,92806,Kaiser Permanente Orange County - Anaheim Medical,"3440 East La Palma Avenue, Anaheim, CA 92806",(714) 644-2000,Kaiser_Permanente_Orange_County_-_Anaheim_Medical.jpg,33.852006,-117.844139
Anaheim,92804,West Anaheim Medical Center,"3033 West Orange Avenue, Anaheim, CA 92804",(714) 827-3000,West_Anaheim_Medical_Center.jpg,33.825427,-117.994762
Anaheim,92805,Western Medical Center Anaheim,"1025 South Anaheim Boulevard, Anaheim, CA 92805",(714) 533-6220 ,Western_Medical_Center_Anaheim.jpg,33.819777,-117.909402
Antioch,94531,Kaiser Permanente Antioch Medical Center,"4501 Sand Creek Road, Antioch, CA 94531",(925) 813-6500,Kaiser_Permanente_Antioch_Medical_Center.jpg,37.95189,-121.776277
Antioch,94509,Sutter Delta Medical Center,"3901 Lone Tree Way, Antioch, CA 94509",(925) 779-7200,Sutter_Delta_Medical_Center.jpg,37.982182,-121.804047
Apple Valley,92307,Saint Mary Medical Center,"18300 Highway 18, Apple Valley, CA 92307",(760) 242-2311,Saint_Mary_Medical_Center.jpg,34.541848,-117.265564
Arcadia,91007,Methodist Hospital of Southern California,"300 West Huntington Drive, Arcadia, CA 91007",(626) 898–8000,Methodist_Hospital_of_Southern_California.jpg,34.134491,-118.042119
Arcata,95521,Mad River Community Hospital,"3800 Janes Road, Arcata, CA 95521",(707) 822-3621,Mad_River_Community_Hospital.jpg,40.896336,-124.091671
Arroyo Grande,93420,Arroyo Grande Community Hospital,"345 South Halcyon Road, Arroyo Grande, CA 93420",(805) 489-4261,Arroyo_Grande_Community_Hospital.jpg,35.113313,-120.590768
Auburn,95602,Sutter Auburn Faith Hospital,"11815 Education Street, Auburn, CA 95602",(530) 888-4500,Sutter_Delta_Medical_Center.jpg,38.944713,-121.098798
Bakersfield,93308,Bakersfield Heart Hospital,"3001 Sillect Avenue, Bakersfield, CA 93308",(661) 316-6000 ,Bakersfield_Heart_Hospital.jpg,35.384656,-119.040113
Bakersfield,93301,Bakersfield Memorial Hospital,"420 34th Street, Bakersfield, CA 93301",(661) 327-4647,Bakersfield_Memorial_Hospital.jpg,35.39226,-119.006527
Bakersfield,93308,Good Samaritan Hospital - Bakersfield,"901 Olive Drive, Bakersfield, CA 93308",(661) 215-7500,Good_Samaritan_Hospital_-_Bakersfield.jpg,35.411716,-119.039719
Bakersfield,93306,Kern Medical Center,"1700 Mount Vernon Avenue, Bakersfield, CA 93306",(661) 326-2000,Kern_Medical_Center.jpg,35.382804,-118.970093
Bakersfield,93301,Mercy Hospitals,"2215 Truxtun Avenue, Bakersfield, CA 93301",(661) 632-5000,Mercy_Hospitals.jpg,35.372792,-119.02761
Bakersfield,93301,San Joaquin Community Hospital,"2615 Chester Avenue, Bakersfield, CA 93301",(661) 395-3000,San_Joaquin_Community_Hospital.jpg,35.383282,-119.020653
Baldwin Park,91706,Kaiser Permanente Baldwin Park Medical Center,"1011 Baldwin Park Boulevard, Baldwin Park, CA 91706",(626) 851-1011,Kaiser_Permanente_Baldwin_Park_Medical_Center.jpg,34.065283,-117.986037
Banning,92220,San Gorgonio Memorial Hospital,"600 North Highland Springs Avenue, Banning, CA 92220",(951) 845-1121,San_Gorgonio_Memorial_Hospital.jpg,33.931748,-116.945951
Barstow,92311,Barstow Community Hospital,"820 East Mountain View Street, Barstow, CA 92311",(760) 256-1761,Barstow_Community_Hospital.jpg,34.892431,-117.017066
Berkeley,94705,Alta Bates Summit Medical Center - Alta Bates Camp,"2450 Ashby Avenue, Berkeley, CA 94705",(510) 204-4444,Alta_Bates_Summit_Medical_Center_-_Alta_Bates_Camp.jpg,37.855724,-122.257135
Burbank,91505,Providence Saint Joseph Medical Center,"501 South Buena Vista Street, Burbank, CA 91505",(818) 843-5111,Providence_Saint_Joseph_Medical_Center.jpg,34.155808,-118.328214
Burlingame,94010,Peninsula Medical Center,"1501 Trousdale Drive, Burlingame, CA 94010",(650) 696-5400,Peninsula_Medical_Center.jpg,37.59264,-122.382465
Camarillo,93010,St. John's Pleasant Valley Hospital,"2309 Antonio Avenue, Camarillo, CA 93010",(805) 389-5800,St._John_Pleasant_Valley_Hospital.jpg,34.243566,-119.020022
Carmichael,95608,Mercy San Juan Medical Center,"6501 Coyle Avenue, Carmichael, CA 95608",(916) 537-5000,Mercy_San_Juan_Medical_Center.jpg,38.669674,-121.313826
Castro Valley,94546,Eden Medical Center,"20103 Lake Chabot Road, Castro Valley, CA 94546",(510) 537-1234,Eden_Medical_Center.jpg,37.698004,-122.0893
Chester,96020,Seneca District Hospital,"130 Brentwood Drive, Chester, CA 96020",(530) 258-3091,Seneca_District_Hospital.jpg,40.305473,-121.234265
Chico,95926,Enloe Medical Center,"1531 Esplanade, Chico, CA 95926",(530) 332-7300,Enloe_Medical_Center.jpg,39.742054,-121.850464
Chino,91710,Chino Valley Medical Center,"5451 Walnut Avenue, Chino, CA 91710",(909) 464-8600,Chino_Valley_Medical_Center.jpg,34.025614,-117.685828
Chula Vista,91910,Scripps Mercy Hospital Chula Vista,"435 H Street, Chula Vista, CA 91910",(619) 691-7000,Scripps_Mercy_Hospital_Chula_Vista.jpg,32.633589,-117.083049
Chula Vista,91911,Sharp Chula Vista Medical Center,"751 Medical Center Court, Chula Vista, CA 91911",(619) 502-5800,Sharp_Chula_Vista_Medical_Center.jpg,32.618971,-117.023197
Clovis,93611,Clovis Community Medical Center,"2755 Herndon Avenue, Clovis, CA 93611",(559) 324-4000,Clovis_Community_Medical_Center.jpg,36.839043,-119.660354
Colton,92324,Arrowhead Regional Medical Center,"400 North Pepper Avenue, Colton, CA 92324",(909) 580-1000,Arrowhead_Regional_Medical_Center.jpg,34.074016,-117.351125
Concord,94520,John Muir Medical Center - Concord,"2540 East Street, Concord, CA 94520",(925) 682-8200,John_Muir_Medical_Center_-_Concord.jpg,37.982724,-122.033458
Corcoran,93212,Corcoran District Hospital,"1310 Hanna Avenue, Corcoran, CA 93212",(559) 992-5051,Corcoran_District_Hospital.jpg,36.099896,-119.564015
Corona,92882,Corona Regional Medical Center,"800 South Main Street, Corona, CA 92882",(951) 737-4343,Corona_Regional_Medical_Center.jpg,33.87278,-117.568313
Coronado,92118,Sharp Coronado Hospital,"250 Prospect Place, Coronado, CA 92118",(619) 522-3600,Sharp_Coronado_Hospital.jpg,32.694122,-117.168371
Covina,91723,Citrus Valley Medical Center - Inter-Community Campus,"210 West San Bernardino Road, Covina, CA 91723",(626) 331-7331,Citrus_Valley_Medical_Center_-_Inter-Community_Campus.jpg,34.088121,-117.89336
Crescent City,95531,Sutter Coast Hospital,"800 East Washington Boulevard, Crescent City, CA 95531",(707) 464-8511,Sutter_Coast_Hospital.jpg,41.773716,-124.194
Daly City,94015,Seton Medical Center,"1900 Sullivan Avenue, Daly City, CA 94015",(650) 992-4000,Seton_Medical_Center.jpg,37.679761,-122.474501
Davis,95616,Sutter Davis Hospital,"2000 Sutter Place, Davis, CA 95616",(530) 756-6440,Sutter_Davis_Hospital.jpg,38.562917,-121.771301
Delano,93215,Delano Regional Medical Center,"1401 Garces Highway, Delano, CA 93215",(661) 725-4800,Delano_Regional_Medical_Center.jpg,35.762162,-119.238886
Downey,90242,Kaiser Permanente Downey Medical Center,"9333 Imperial Highway, Downey, CA 90242",(562) 657-9000,Kaiser_Permanente_Downey_Medical_Center.jpg,33.91909,-118.12873
Downey,90241,PIH Health Hospital - Downey,"11500 Brookshire Avenue, Downey, CA 90241",(562) 904.5000,PIH_Health_Hospital_-_Downey.jpg,33.934405,-118.131046
Duarte,91010,City of Hope Helford Clinical Research Hospital,"1500 East Duarte Road, Duarte, CA 91010",(626) 256–4673,City_of_Hope_Helford_Clinical_Research_Hospital.jpg,34.129634,-117.970767
Encinitas,92024,Scripps Memorial Hospital Encinitas,"354 Santa Fe Drive, Encinitas, CA 92024",(760) 633-6501,Scripps_Memorial_Hospital_Encinitas.jpg,33.036901,-117.283913
Encino,91436,Encino Hospital Medical Center,"16237 Ventura Boulevard, Encino, CA 91436",(818) 995-5000,Encino_Hospital_Medical_Center.jpg,34.157587,-118.487069
Escondido,92025,Palomar Medical Center,"555 East Valley Parkway, Escondido, CA 92025",(760) 739.3000,Palomar_Medical_Center.jpg,33.125088,-117.075304
Eureka,95501,Saint Joseph Hospital - Eureka,"2700 Dolbeer Street, Eureka, CA 95501",(707) 445-8121,Saint_Joseph_Hospital_-_Eureka.jpg,40.783708,-124.141968
Fairfield,94533,Northbay Medical Center,"1200 B Gale Wilson Boulevard, Fairfield, CA 94533",(707) 646-5000,Northbay_Medical_Center.jpg,38.261899,-122.047494
Fall River Mills,96028,Mayers Memorial Hospital District,"43563 State Highway 299 East, Fall River Mills, CA 96028",(530) 336-5511,Mayers_Memorial_Hospital_District.jpg,41.024428,-121.424286
Fallbrook,92028,Fallbrook Hospital,"624 East Elder Street, Fallbrook, CA 92028",(760) 728-1191,Fallbrook_Hospital.jpg,33.380749,-117.244607
Folsom,95630,Mercy Hospital of Folsom,"1650 Creekside Drive, Folsom, CA 95630",(916) 983-7400,Mercy_Hospital_of_Folsom.jpg,38.670378,-121.145784
Fontana,92335,Kaiser Permanente Fontana Medical Center,"9961 Sierra Avenue, Fontana, CA 92335",(909) 427-5000,Kaiser_Permanente_Fontana_Medical_Center.jpg,34.072245,-117.431968
Fort Bragg,95437,Mendocino Coast District Hospital,"700 River Drive, Fort Bragg, CA 95437",(707) 961-1234,Mendocino_Coast_District_Hospital.jpg,39.432594,-123.801498
Fortuna,95540,Redwood Memorial Hospital,"3300 Renner Drive, Fortuna, CA 95540",(707) 725-3361,Redwood_Memorial_Hospital.jpg,40.58232,-124.136518
Fountain Valley,92708,Fountain Valley Regional Hospital and Medical Center,"17100 Euclid Street, Fountain Valley, CA 92708",(714) 966-7200,Fountain_Valley_Regional_Hospital_and_Medical_Center.jpg,33.715049,-117.935723
Fountain Valley,92708,Orange Coast Memorial Medical Center,"18111 Brookhurst Street, Fountain Valley, CA 92708",(714) 378-7000,Orange_Coast_Memorial_Medical_Center.jpg,33.700231,-117.95497
Fremont,94538,Kaiser Permanente Fremont Medical Center,"39400 Paseo Padre Parkway, Fremont, CA 94538",(510) 248-3000,Kaiser_Permanente_Fremont_Medical_Center.jpg,37.552429,-121.974729
Fremont,94538,Washington Hospital,"2000 Mowry Avenue, Fremont, CA 94538",(510) 797-1111,Washington_Hospital.jpg,37.55726,-121.97976
French Camp,95231,San Joaquin General Hospital,"500 West Hospital Road, French Camp, CA 95231",(209) 468-6000,San_Joaquin_General_Hospital.jpg,37.886967,-121.283052
Fresno,93702,Community Health Center - Cedar,"445 South Cedar Avenue, Fresno, CA 93702",(209) 453-4000,Community_Health_Center_-_Cedar.jpg,36.739189,-119.753378
Fresno,93721,Community Regional Medical Center,"2823 Fresno Street, Fresno, CA 93721",(559) 459-4000,Community_Regional_Medical_Center.jpg,36.742972,-119.78422
Fresno,93720,Fresno Heart and Surgical Hospital,"15 East Audubon Drive, Fresno, CA 93720",(559) 433-8000,Fresno_Heart_and_Surgical_Hospital.jpg,36.859923,-119.788578
Fresno,93710,Fresno Surgical Hospital,"6125 North Fresno Street, Fresno, CA 93710",(559) 431–8000,Fresno_Surgical_Hospital.jpg,36.825026,-119.781918
Fresno,93720,Kaiser Permanente Fresno Medical Center,"7300 North Fresno Street, Fresno, CA 93720",(559) 448-4500,Kaiser_Permanente_Fresno_Medical_Center.jpg,36.842803,-119.781008
Fresno,93720,Saint Agnes Medical Center,"1303 East Herndon Avenue, Fresno, CA 93720",(559) 450-3000,Saint_Agnes_Medical_Center.jpg,36.835202,-119.765528
Fullerton,92835,St. Jude Medical Center,"101 East Valencia Mesa Drive, Fullerton, CA 92835",(714) 871-3280,St._Jude_Medical_Center.jpg,33.892859,-117.92805
Garberville,95542,Jerold Phelps Community Hospital,"733 Cedar Street, Garberville, CA 95542",(707) 923-3921,Jerold_Phelps_Community_Hospital.jpg,40.1016,-123.792598
Garden Grove,92843,Garden Grove Hospital and Medical Center,"12601 Garden Grove Boulevard, Garden Grove, CA 92843",(714) 537-5160 ,Garden_Grove_Hospital_and_Medical_Center.jpg,33.774913,-117.91294
